Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000,Toni Kukoc,SF,31,PHI,10,257,10.9,0.463,0.366,0.183,3.1,14.2,8.4,11.7,2.1,1,13,20.6,,-0.1,0.2,0.1,0.013,,-1.7,1.8,0.1,0.1
2000,Christian Laettner,C,30,DET,3,75,8.6,0.487,0,0.471,3.3,22.7,12.7,16.3,0,1.1,12.8,15.3,,0,0.1,0.1,0.077,,-3.1,2,-1.1,0
2000,Quincy Lewis,SG,22,UTA,8,106,6.7,0.445,0.222,0.185,2.3,14.2,8.4,3.2,1.5,5.2,9.3,14.6,,-0.1,0.1,0.1,0.028,,-5.8,3.1,-2.8,0
2000,Rashard Lewis,SF,20,SEA,5,157,18.2,0.568,0.322,0.339,8.5,14.6,11.4,3.4,1.7,1.4,12.9,22.8,,0.3,0.1,0.4,0.126,,0.8,-0.1,0.7,0.1
2000,Randy Livingston,PG,24,PHO,7,63,0.5,0.259,0.222,0,3.3,8.5,5.9,10.6,3.4,1.2,12.9,22,,-0.3,0.1,-0.2,-0.151,,-8.2,1.7,-6.5,-0.1
2000,Luc Longley,C,31,PHO,9,162,3.8,0.363,0,0.059,7.8,11.9,9.8,8.4,1.3,1.8,16,17.2,,-0.3,0.2,-0.1,-0.032,,-5.8,2,-3.8,-0.1
2000,George Lynch,SF,29,PHI,10,293,10.2,0.405,0.108,0.277,9.9,18.7,14.1,7.6,1.7,1.4,9.9,12.7,,0.1,0.2,0.3,0.049,,-2.5,3.7,1.2,0.2
2000,Todd MacCulloch,C,24,PHI,5,24,20.7,0.709,0,2,14,30.4,21.9,0,0,0,0,10.8,,0.1,0,0.1,0.256,,-1.1,-4.4,-5.5,0
2000,Dan Majerle,SG,34,MIA,10,372,14.2,0.583,0.704,0.197,1.6,20.8,11.2,15.5,3.2,0.2,12.5,11.7,,0.5,1,1.5,0.19,,3.6,3.2,6.7,0.8
2000,Karl Malone*,PF,36,UTA,10,386,25.8,0.584,0.01,0.399,6.1,20.9,13.7,19,1,1.4,10.4,32.3,,1.2,0.3,1.6,0.194,,4.2,1.1,5.3,0.7
2000,Danny Manning,PF,33,MIL,1,5,-5.2,0,0,0,0,21.5,11.3,0,0,0,0,9.2,,0,0,0,-0.183,,-13.3,-1.2,-14.6,0
2000,Shawn Marion,SF,21,PHO,9,281,13.8,0.451,0.07,0.128,7.8,22,14.9,4.4,1.1,3.7,7.2,15.5,,0.1,0.5,0.6,0.103,,-3.1,3.1,0,0.1
2000,Darrick Martin,PG,28,SAC,2,21,8.8,0.465,0.333,0.444,5.1,9.6,7.4,17.1,2.5,0,21.8,29.6,,0,0,0,-0.099,,-5.4,1.6,-3.8,0
2000,Jamal Mashburn,SF,27,MIA,10,423,13.1,0.499,0.21,0.268,2.5,10.4,6.5,15.5,1.5,0.4,12,23.3,,0.1,0.8,0.9,0.105,,1.8,-0.4,1.4,0.4
2000,Anthony Mason,SF,33,CHH,4,179,14.2,0.534,0.026,0.526,10.7,14.5,12.7,22.2,1.3,0,21.7,16.1,,0.2,0.1,0.3,0.072,,-0.6,1.3,0.7,0.1
2000,Jelani McCoy,C,22,SEA,3,26,-2.1,0.316,0,0.6,0,27.8,13.3,11.9,0,0,24,14.7,,-0.1,0,-0.1,-0.136,,-10.5,1.2,-9.2,0
